elapsed_time_sec,ch0_voltage,ch1_voltage,ch2_voltage,ch3_voltage
44.770084,-0.0043787826,-0.007358855,-0.006074806,0.028876608
44.780067,-0.0022508912,-0.007241455,-0.008261435,0.026307799
44.790073,-0.0029070147,-0.0060688923,-0.006403477,0.027993545
44.8001,-0.004942647,-0.0073549994,-0.007825438,0.026690962
44.810074,-0.0029197412,-0.005980148,-0.0056342324,0.028797137
44.82008,-0.004104555,-0.007503074,-0.005887643,0.028788526
44.830067,-0.0030273718,-0.0073376955,-0.0082915975,0.02730221
44.840073,-0.0028233922,-0.0052241865,-0.0056243115,0.028353771
44.85008,-0.0042636865,-0.007488062,-0.007567001,0.026564617
44.860073,-0.002678984,-0.006190283,-0.0061565004,0.028617496
44.870083,-0.004338048,-0.006941005,-0.005414285,0.028364867
44.880066,-0.002983162,-0.008554572,-0.007885005,0.027397305
44.890076,-0.00311846,-0.005660265,-0.0052924207,0.028656336
44.90008,-0.0041850433,-0.008066264,-0.007238517,0.027298035
44.910072,-0.002676635,-0.005476828,-0.0061909314,0.028252631
44.920082,-0.0035675496,-0.006103713,-0.006346609,0.028345516
44.93007,-0.002809932,-0.008318692,-0.00728667,0.02730027
44.940075,-0.0026637642,-0.006085134,-0.0056322003,0.028129943
44.950085,-0.004051413,-0.008172111,-0.008076081,0.026494477
44.96007,-0.0031783443,-0.005937909,-0.00652153,0.028655354
44.97008,-0.004241722,-0.0063561304,-0.005669278,0.02846092
44.98007,-0.0036001117,-0.007936679,-0.006914911,0.027195713
44.990074,-0.0036120578,-0.0057807574,-0.0052407547,0.028658882
45.000084,-0.0049046585,-0.0072646113,-0.0076696663,0.027457213
45.010075,-0.002916891,-0.005978161,-0.005620692,0.028662466
45.02009,-0.004894522,-0.0057228818,-0.005546967,0.028768288
45.030067,-0.003768374,-0.007821121,-0.007177618,0.026663886
45.040073,-0.0043093534,-0.00583741,-0.006483681,0.028371975
45.050083,-0.0043467768,-0.008435835,-0.0069902656,0.026491804
45.060074,-0.0021055157,-0.005479693,-0.0053656683,0.028659804
45.07008,-0.003937606,-0.0056507797,-0.005825358,0.02852447
45.080067,-0.0038168323,-0.008199247,-0.007994822,0.027242666
45.090073,-0.0029528,-0.0054266546,-0.00587164,0.028411716
45.100086,-0.004171184,-0.0076044714,-0.007353192,0.027437896
45.110077,-0.00276954,-0.005546577,-0.0057798917,0.028855696
45.120083,-0.0049507394,-0.0060535655,-0.006068845,0.028812513
45.13007,-0.004005403,-0.0075020925,-0.007634987,0.027179757
45.140076,-0.0023495848,-0.0058434545,-0.006251549,0.028802022
45.15008,-0.0047904397,-0.007329747,-0.00768438,0.026997065
45.160072,-0.0026169142,-0.005692555,-0.005582959,0.028716637
45.170082,-0.0047135805,-0.005708653,-0.005559211,0.02898857
45.18007,-0.004137652,-0.0083416505,-0.0077655185,0.027004303
45.190075,-0.0024196361,-0.006270873,-0.005926592,0.028270373
45.20008,-0.0049676416,-0.007887913,-0.007892987,0.026806377
45.21007,-0.0032679422,-0.0055173854,-0.0062570157,0.028007584
45.22009,-0.003498059,-0.0053716553,-0.005930448,0.0291521
45.23007,-0.004305261,-0.00836404,-0.007156018,0.027101016
45.240074,-0.0034697598,-0.005486137,-0.0059392713,0.028367598
45.25008,-0.0045302734,-0.008169911,-0.007513681,0.026860831
45.26007,-0.0030579846,-0.006176099,-0.0041557555,0.028724713
45.270084,-0.0040396205,-0.005678504,-0.005607147,0.028583683
45.280067,-0.004467089,-0.008447451,-0.007273565,0.027210213
45.290073,-0.0029102673,-0.0051230495,-0.006180381,0.028281491
45.300083,-0.0042654015,-0.0077232956,-0.008228755,0.027282413
45.310074,-0.0029057018,-0.0057114232,-0.0057187183,0.028917745
45.320084,-0.0039715283,-0.0064704814,-0.005349135,0.02865666
45.330067,-0.0051339874,-0.00742049,-0.0071310992,0.027010597
45.340073,-0.0029224143,-0.005402753,-0.005419567,0.028521786
45.350082,-0.004747183,-0.007713228,-0.00816829,0.027877834
45.360073,-0.0030852596,-0.0059150835,-0.005196273,0.029229052
45.37008,-0.0028181523,-0.0051233424,-0.006065876,0.028293071
45.38007,-0.0039782603,-0.0070249923,-0.007820329,0.026849134
45.39007,-0.0031634767,-0.0067000967,-0.005195421,0.028211353
45.400085,-0.0052573043,-0.0071395654,-0.008138863,0.027392536
45.410072,-0.0034239602,-0.0063017556,-0.006227692,0.028792119
45.42008,-0.0024330039,-0.0050448887,-0.005469185,0.028595082
45.430073,-0.0044626063,-0.0071871276,-0.0077381725,0.02565785
45.440075,-0.0024484983,-0.0057455436,-0.0057573123,0.028812805
45.450077,-0.0051716357,-0.0076402975,-0.0077441814,0.027814638
45.46007,-0.0033601257,-0.005886924,-0.0056288885,0.027367381
45.470078,-0.0032043536,-0.0050774626,-0.0055279713,0.02931691
45.480072,-0.0050388947,-0.0069454736,-0.007859006,0.026184754
45.490074,-0.003804037,-0.0056536063,-0.0051987567,0.02920606
45.500084,-0.004464984,-0.006997055,-0.0075836545,0.02716937
45.51007,-0.0026610792,-0.0051419833,-0.006253926,0.02874403
45.52008,-0.0034546321,-0.005646214,-0.0056488398,0.028259812
45.530087,-0.0043945727,-0.0078123827,-0.006680342,0.026882758
45.540073,-0.0030129184,-0.005232927,-0.005020973,0.028343955
45.550083,-0.0046324297,-0.0077526146,-0.00757502,0.027268382
45.56007,-0.0027789788,-0.0054476014,-0.00563287,0.028428074
45.57008,-0.003162909,-0.0057714824,-0.00547684,0.02857345
45.580093,-0.0041288235,-0.007108059,-0.007229909,0.02710251
45.590076,-0.002971159,-0.00613747,-0.005259942,0.028564591
45.600086,-0.0050593284,-0.007667783,-0.0078093405,0.02776534
45.610073,-0.0025212627,-0.005614797,-0.0063348166,0.029171081
45.620075,-0.00252514,-0.0049812314,-0.0052152565,0.02898403
45.630085,-0.004580695,-0.0072215702,-0.00663199,0.027773714
45.640076,-0.0017247435,-0.0057849777,-0.005442873,0.029815143
45.65008,-0.00427361,-0.007205955,-0.007249046,0.02680834
45.660072,-0.0027726367,-0.0053156153,-0.00502574,0.029514918
45.67008,-0.0026059144,-0.005066628,-0.0051424587,0.028370399
45.680084,-0.0037295432,-0.00726648,-0.0070600617,0.027586704
45.690075,-0.002673936,-0.0045749703,-0.005145103,0.029330878
45.700085,-0.005615592,-0.007862909,-0.007695569,0.026806684
45.71007,-0.003039072,-0.005501099,-0.0049957917,0.029963544
45.720078,-0.002764466,-0.004327618,-0.0054821153,0.02919178
45.73009,-0.003810481,-0.006646848,-0.0074603404,0.027990812
45.740074,-0.002532523,-0.004838884,-0.005315521,0.029413696
45.750084,-0.004542373,-0.0074895644,-0.0072026667,0.027568193
45.76007,-0.001964966,-0.005315603,-0.0052054273,0.028406195
45.770077,-0.00233669,-0.005506944,-0.00445907,0.029344859
45.78009,-0.0033476,-0.0063846707,-0.007812593,0.027474765
45.790077,-0.0023515837,-0.0051312577,-0.00454973,0.028780388
45.800083,-0.0033501335,-0.0075731515,-0.007684238,0.028048225
45.81007,-0.0022265615,-0.0048621115,-0.0042833444,0.028993478
45.82008,-0.0021250315,-0.005456827,-0.005483203,0.029472586
45.83009,-0.0037845306,-0.006578871,-0.0068349075,0.027644683
45.840076,-0.002290053,-0.004930999,-0.005450142,0.029414559
45.850082,-0.0040762634,-0.007886257,-0.006843518,0.02788389
45.860073,-0.0024592734,-0.005303906,-0.004933814,0.029364906
45.870075,-0.0027031389,-0.0057319184,-0.005664346,0.02907638
45.880085,-0.0041158153,-0.007279148,-0.00756337,0.027238209
45.890076,-0.0021216962,-0.005682168,-0.0057943924,0.02911717
45.900085,-0.0047634845,-0.008279176,-0.008222913,0.02694384
45.910072,-0.0029712396,-0.0056886994,-0.0051733977,0.028781146
45.92008,-0.0027782691,-0.005302037,-0.004891423,0.028289784
45.930084,-0.0040475833,-0.0071475045,-0.0072731394,0.027447453
45.940075,-0.0027304492,-0.005034776,-0.0053609987,0.028965615
45.95008,-0.0038987068,-0.0066759065,-0.00690468,0.027273728
45.96007,-0.002331415,-0.004741118,-0.005408617,0.029147027
45.970078,-0.0024966728,-0.005005656,-0.0048572407,0.029052263
45.980072,-0.00369115,-0.0067455247,-0.0071031973,0.026327694
45.990074,-0.0026148467,-0.0050445576,-0.0050686034,0.028992472
46.000084,-0.003839544,-0.0076555084,-0.0073871003,0.027169289
46.01007,-0.0027722865,-0.0045762598,-0.0055126543,0.028979722
46.020077,-0.0018534063,-0.0054072454,-0.005426643,0.02884782
46.030075,-0.0042637694,-0.0066631916,-0.006993296,0.02737345
46.040073,-0.0024606572,-0.0049539213,-0.0046656895,0.029438451
46.05008,-0.0041769412,-0.007138693,-0.007898839,0.028332837
46.06007,-0.0017932265,-0.0044399207,-0.0043182243,0.028869735
46.070076,-0.0013742031,-0.005057509,-0.00564677,0.029622197
46.08008,-0.00432978,-0.0063828253,-0.0068224645,0.027094759
46.090076,-0.0027626564,-0.004405478,-0.005266589,0.029733164
46.100082,-0.0033845264,-0.006424081,-0.006559249,0.027601015
46.110073,-0.0027554296,-0.006725077,-0.0054885517,0.028858062
46.120102,-0.0026905895,-0.005340158,-0.005270918,0.029053267
46.130077,-0.0036940363,-0.0070876107,-0.0071972283,0.027484464
46.140076,-0.0026109766,-0.0047762557,-0.005384228,0.029827453
46.150078,-0.0037268135,-0.006599641,-0.0067332597,0.02799384
46.160072,-0.0026170206,-0.005075414,-0.0049996236,0.029190635
