elapsed_time_sec,ch1_voltage,ch2_voltage,ch3_voltage,ch4_voltage,ch5_voltage,ch6_voltage,ch7_voltage,ch8_voltage
8.970077,-0.003618267,-0.008012532,-0.006261425,2.7601886,5.08,5.08,5.08,5.08
8.980076,-0.001808331,-0.004888809,-0.003548117,2.7193027,5.08,5.08,5.08,5.08
8.990079,-0.003265775,-0.007149326,-0.004966222,2.7380648,5.08,5.08,5.08,5.08
9.000072,-0.00160106,-0.005379911,-0.003422541,2.7155337,5.08,5.08,5.08,5.08
9.010088,-0.00284402,-0.009116586,-0.008013004,2.7239015,5.08,5.08,5.08,5.08
9.02009,-0.003904301,-0.007720881,-0.007049689,2.7463684,5.08,5.08,5.08,5.08
9.030077,-0.001342327,-0.005153066,-0.003832871,2.7172868,5.08,5.08,5.08,5.08
9.0400915,-0.00351837,-0.007223285,-0.005307738,2.7320206,5.08,5.08,5.08,5.08
9.050069,-0.001305874,-0.005356454,-0.004121079,2.7125168,5.08,5.08,5.08,5.08
9.060092,-0.003720661,-0.006740886,-0.004657753,2.7246275,5.08,5.08,5.08,5.08
9.0700865,-0.003805915,-0.008215188,-0.008170665,2.752089,5.08,5.08,5.08,5.08
9.080075,-0.002236024,-0.005280747,-0.003703416,2.707659,5.08,5.08,5.08,5.08
9.090087,-0.003572494,-0.006838894,-0.005125306,2.720843,5.08,5.08,5.08,5.08
9.100072,-0.00136396,-0.005221357,-0.003731152,2.72954,5.08,5.08,5.08,5.08
9.110092,-0.005624643,-0.009752896,-0.007158055,2.7409654,5.08,5.08,5.08,5.08
9.120079,-0.003444172,-0.006403941,-0.005763771,2.739639,5.08,5.08,5.08,5.08
9.130074,-0.002097579,-0.005358491,-0.002634502,2.733079,5.08,5.08,5.08,5.08
9.140079,-0.003311833,-0.006523115,-0.005323847,2.7385175,5.08,5.08,5.08,5.08
9.150069,-0.00134487,-0.005027453,-0.005045445,2.7380514,5.08,5.08,5.08,5.08
9.160079,-0.006097752,-0.009531042,-0.007473739,2.734847,5.08,5.08,5.08,5.08
9.170085,-0.004775783,-0.006284965,-0.007007418,2.7509108,5.08,5.08,5.08,5.08
9.180076,-0.001901486,-0.007076999,-0.003687732,2.733591,5.08,5.08,5.08,5.08
9.190085,-0.003637547,-0.007300817,-0.00504812,2.705901,5.08,5.08,5.08,5.08
9.200071,-0.00119293,-0.005254761,-0.003608465,2.728464,5.08,5.08,5.08,5.08
9.210094,-0.006651411,-0.009925795,-0.007269544,2.7536395,5.08,5.08,5.08,5.08
9.220077,-0.001080306,-0.006980673,-0.00624017,2.7412257,5.08,5.08,5.08,5.08
9.230073,-0.000986642,-0.005411763,-0.004098665,2.7315104,5.08,5.08,5.08,5.08
9.240086,-0.0033945,-0.006948312,-0.00388721,2.7318847,5.08,5.08,5.08,5.08
9.250769,-0.002907949,-0.005260533,-0.003927221,2.7274847,5.08,5.08,5.08,5.08
9.261889,-0.004718962,-0.009128329,-0.005617735,2.740286,5.08,5.08,5.08,5.08
9.270082,-0.004150258,-0.006649696,-0.005098705,2.7536209,5.08,5.08,5.08,5.08
9.280078,-0.002200434,-0.005893013,-0.003544038,2.7303138,5.08,5.08,5.08,5.08
9.290094,-0.003365981,-0.008137018,-0.004903062,2.7315557,5.08,5.08,5.08,5.08
9.300076,-0.001215285,-0.005702692,-0.003600041,2.7326717,5.08,5.08,5.08,5.08
9.310112,-0.003453031,-0.009525956,-0.007517208,2.7453747,5.08,5.08,5.08,5.08
9.3200865,-0.003536372,-0.008556302,-0.008091907,2.7458546,5.08,5.08,5.08,5.08
9.330075,-0.001893112,-0.005535754,-0.003281769,2.7273898,5.08,5.08,5.08,5.08
9.340078,-0.003673184,-0.007013531,-0.005082891,2.7260985,5.08,5.08,5.08,5.08
9.35007,-0.0015181,-0.006034319,-0.003861056,2.730912,5.08,5.08,5.08,5.08
9.360099,-0.003013193,-0.00706801,-0.00447842,2.732327,5.08,5.08,5.08,5.08
9.37009,-0.004084555,-0.008982386,-0.007650789,2.7446318,5.08,5.08,5.08,5.08
9.3800745,-0.001312294,-0.005489141,-0.003374982,2.7293413,5.08,5.08,5.08,5.08
9.390081,-0.002835977,-0.007431194,-0.004002579,2.721451,5.08,5.08,5.08,5.08
9.40007,-0.001928581,-0.006067627,-0.003303198,2.7294123,5.08,5.08,5.08,5.08
9.410102,-0.006118155,-0.008688879,-0.007513963,2.7175026,5.08,5.08,5.08,5.08
9.420082,-0.003949564,-0.006640175,-0.008770893,2.5729828,5.08,5.08,5.08,5.08
9.430072,-0.001315244,-0.005178236,-0.003644158,2.7336516,5.08,5.08,5.08,5.08
9.440087,-0.003100612,-0.007306281,-0.005107482,2.7237265,5.08,5.08,5.08,5.08
9.45007,-0.001694015,-0.004719814,-0.004135473,2.7333417,5.08,5.08,5.08,5.08
9.4601,-0.00584472,-0.010378953,-0.007076916,2.7433574,5.08,5.08,5.08,5.08
9.470088,-0.00142,-0.007300956,-0.005174155,2.7030454,5.08,5.08,5.08,5.08
9.480074,-0.001141657,-0.005883667,-0.004192022,2.7315624,5.08,5.08,5.08,5.08
9.490078,-0.003156536,-0.007271235,-0.00357014,2.6998394,5.08,5.08,5.08,5.08
9.50007,-0.001624054,-0.005395595,-0.004253491,2.7365935,5.08,5.08,5.08,5.08
9.510103,-0.006338625,-0.009521934,-0.008235567,2.7389374,5.08,5.08,5.08,5.08
9.520083,-0.004713273,-0.008411906,-0.004888393,2.7221322,5.08,5.08,5.08,5.08
9.530072,-0.001467513,-0.005684124,-0.004076299,2.725751,5.08,5.08,5.08,5.08
9.540077,-0.003048641,-0.007108672,-0.0034811,2.7062528,5.08,5.08,5.08,5.08
9.550068,-0.001635278,-0.005624463,-0.003961061,2.7321155,5.08,5.08,5.08,5.08
9.560095,-0.005823962,-0.009547317,-0.007432956,2.7266831,5.08,5.08,5.08,5.08
9.570076,-0.003401558,-0.006579439,-0.006597193,2.7327023,5.08,5.08,5.08,5.08
9.580086,-0.001301143,-0.005125368,-0.003799124,2.7388303,5.08,5.08,5.08,5.08
9.590082,-0.002967171,-0.008126196,-0.003972616,2.7281456,5.08,5.08,5.08,5.08
9.600071,-0.001519413,-0.005758765,-0.003516052,2.7334416,5.08,5.08,5.08,5.08
9.610079,-0.004702226,-0.009044128,-0.007629901,2.7554853,5.08,5.08,5.08,5.08
9.620088,-0.004660438,-0.007347146,-0.00521036,2.7381253,5.08,5.08,5.08,5.08
9.630075,-0.00088115,-0.005529131,-0.003183511,2.7290592,5.08,5.08,5.08,5.08
9.640077,-0.003156593,-0.006791239,-0.003636695,2.7164254,5.08,5.08,5.08,5.08
9.650069,-0.001766236,-0.005685672,-0.00402085,2.7305346,5.08,5.08,5.08,5.08
9.660099,-0.005581859,-0.009101894,-0.007086698,2.7482474,5.08,5.08,5.08,5.08
9.670091,-0.003716024,-0.007148498,-0.005323173,2.7393794,5.08,5.08,5.08,5.08
9.680074,-0.001039891,-0.005642441,-0.003534751,2.7271163,5.08,5.08,5.08,5.08
9.69008,-0.003330793,-0.005164657,-0.004371497,2.7199433,5.08,5.08,5.08,5.08
9.700068,-0.001662115,-0.005226363,-0.003236729,2.704752,5.08,5.08,5.08,5.08
9.710097,-0.005729484,-0.009506641,-0.007793503,2.7450566,5.08,5.08,5.08,5.08
9.720077,-0.001717446,-0.007667478,-0.005158507,2.7230651,5.08,5.08,5.08,5.08
9.730072,-0.001755413,-0.005476272,-0.004014757,2.7334564,5.08,5.08,5.08,5.08
9.740078,-0.003292341,-0.005422243,-0.003872082,2.721357,5.08,5.08,5.08,5.08
9.750068,-0.001583224,-0.005610045,-0.004802786,2.697968,5.08,5.08,5.08,5.08
9.760101,-0.005782896,-0.008991685,-0.007318359,2.7390351,5.08,5.08,5.08,5.08
9.770085,-0.002088732,-0.007862351,-0.006291042,2.7231452,5.08,5.08,5.08,5.08
9.780077,-0.001446093,-0.006693246,-0.00757075,2.7332983,5.08,5.08,5.08,5.08
9.790101,-0.001529847,-0.004986613,-0.004003984,2.7181387,5.08,5.08,5.08,5.08
9.800068,-0.001063816,-0.005310458,-0.004472837,2.7187746,5.08,5.08,5.08,5.08
9.810111,-0.005510975,-0.010496604,-0.007560936,2.7556431,5.08,5.08,5.08,5.08
9.820084,-0.002967455,-0.007164134,-0.005206211,2.7437057,5.08,5.08,5.08,5.08
9.830074,-0.001580681,-0.005102869,-0.003951244,2.732904,5.08,5.08,5.08,5.08
9.840093,-0.003720587,-0.007320697,-0.00529169,2.7224472,5.08,5.08,5.08,5.08
9.850071,-0.001178086,-0.0050513,-0.004363998,2.7179613,5.08,5.08,5.08,5.08
9.860108,-0.00581005,-0.009221639,-0.006569975,2.747832,5.08,5.08,5.08,5.08
9.870085,-0.003482153,-0.009755983,-0.006941417,2.7147985,5.08,5.08,5.08,5.08
9.880073,-0.004977437,-0.008329468,-0.004000778,2.73297,5.08,5.08,5.08,5.08
9.890077,-0.003710373,-0.006228295,-0.003879094,2.7235136,5.08,5.08,5.08,5.08
9.900069,-0.001845884,-0.00511679,-0.003692889,2.726353,5.08,5.08,5.08,5.08
9.9101,-0.005619235,-0.009342734,-0.005780107,2.7471354,5.08,5.08,5.08,5.08
9.920077,-0.003863399,-0.00678489,-0.005441605,2.7261193,5.08,5.08,5.08,5.08
9.930071,-0.002143731,-0.004960131,-0.003377409,2.7313807,5.08,5.08,5.08,5.08
9.9400835,-0.002684806,-0.005540745,-0.004002493,2.7310193,5.08,5.08,5.08,5.08
9.950068,-0.000782437,-0.005100406,-0.003975931,2.7081373,5.08,5.08,5.08,5.08
9.960087,-0.005936042,-0.009180916,-0.005939709,2.7417345,5.08,5.08,5.08,5.08
9.970083,-0.005172925,-0.007298888,-0.004611448,2.7378395,5.08,5.08,5.08,5.08
9.98007,-0.001291858,-0.00605697,-0.004779981,2.7184982,5.08,5.08,5.08,5.08
9.990081,-0.001802348,-0.005535236,-0.004752423,2.7349346,5.08,5.08,5.08,5.08
10.000068,-0.001669569,-0.005244163,-0.003837046,2.712287,5.08,5.08,5.08,5.08
10.010092,-0.008236466,-0.007242553,-0.007141756,2.7403753,5.08,5.08,5.08,5.08
10.020279,-0.001906442,-0.007425883,-0.005515195,2.7367713,5.08,5.08,5.08,5.08
10.03007,-0.001669662,-0.005572695,-0.003217968,2.7039344,5.08,5.08,5.08,5.08
10.040083,-0.001552022,-0.005330173,-0.00394993,2.726301,5.08,5.08,5.08,5.08
10.05007,-0.001416123,-0.005008258,-0.004329317,2.730404,5.08,5.08,5.08,5.08
10.060104,-0.006592485,-0.009895055,-0.008517235,2.7441425,5.08,5.08,5.08,5.08
10.070097,-0.003679985,-0.006970655,-0.005433243,2.7370474,5.08,5.08,5.08,5.08
10.080074,-0.001697152,-0.006339158,-0.003562239,2.7253094,5.08,5.08,5.08,5.08
10.09008,-0.002846645,-0.005179929,-0.003506305,2.7353752,5.08,5.08,5.08,5.08
10.10007,-0.001786958,-0.005594905,-0.003706479,2.7188377,5.08,5.08,5.08,5.08
10.110767,-0.00473694,-0.008231214,-0.006346526,2.7319064,5.08,5.08,5.08,5.08
10.120471,-0.00290621,-0.006506615,-0.005481488,3.4480376,5.08,5.08,5.08,5.08
10.13007,-0.000727802,-0.005362711,-0.003987176,2.7318602,5.08,5.08,5.08,5.08
10.140198,-0.001539639,-0.006078638,-0.003666407,2.7329981,5.08,5.08,5.08,5.08
10.150067,-0.001029423,-0.005021292,-0.003807193,2.7131526,5.08,5.08,5.08,5.08
10.160109,-0.005978351,-0.009276602,-0.007146038,2.7356124,5.08,5.08,5.08,5.08
10.170099,-0.006450055,-0.008834951,-0.004717874,2.7468386,5.08,5.08,5.08,5.08
10.180075,-0.002125375,-0.005872447,-0.004762276,2.7197757,5.08,5.08,5.08,5.08
10.190078,-0.002738019,-0.005498778,-0.004223212,2.735804,5.08,5.08,5.08,5.08
10.200068,-0.001098968,-0.005383886,-0.003690795,2.729108,5.08,5.08,5.08,5.08
10.2107525,-0.005980311,-0.006838539,-0.007238602,2.745092,5.08,5.08,5.08,5.08
10.220103,-0.002802067,-0.006995352,-0.004817746,2.73492,5.08,5.08,5.08,5.08
10.230071,-0.001674381,-0.006163089,-0.002918701,2.7142146,5.08,5.08,5.08,5.08
10.240127,-0.001186484,-0.00460802,-0.003476393,2.7218287,5.08,5.08,5.074035,5.08
10.250068,-0.000850019,-0.00507201,-0.004329792,2.716589,5.08,5.08,5.08,5.08
10.260162,-0.004608701,-0.007885394,-0.006854163,2.7356122,5.08,5.08,5.08,5.08
10.270271,-0.002908931,-0.007061942,-0.00501857,2.7383196,5.08,5.08,5.08,5.08
10.280087,-0.002194627,-0.005412591,-0.003720436,2.719081,5.08,5.08,5.08,5.08
10.290086,-0.001605401,-0.006074511,-0.003902525,2.7302139,5.08,5.08,5.08,5.08
10.300068,-0.001357183,-0.005769389,-0.003601226,2.7195942,5.08,5.08,5.08,5.08
10.31072,-0.001427073,-0.005147519,-0.003723807,2.7210166,5.08,5.08,5.08,5.08
10.320086,-0.005353417,-0.009634959,-0.008080032,2.7463212,5.08,5.08,5.08,5.08
10.330071,-0.001443729,-0.005300038,-0.003775837,2.710778,5.08,5.08,5.08,5.08
10.340074,-0.001905662,-0.004278031,-0.004196434,2.7297215,5.08,5.08,5.08,5.08
10.350067,-0.001849763,-0.00525527,-0.003409604,2.7214239,5.08,5.08,5.08,5.08
10.360099,-0.006197744,-0.009064175,-0.005211578,2.7264402,5.08,5.08,5.08,5.08
10.370128,-0.002404605,-0.007312739,-0.006029248,2.739336,5.08,5.08,5.08,5.08
10.380072,-0.001936248,-0.005709824,-0.003799528,2.7348232,5.08,5.08,5.08,5.08
10.390084,-0.002095332,-0.005576584,-0.002007984,2.696942,5.08,5.08,5.08,5.08
10.400078,-0.000899126,-0.005447174,-0.003602208,2.726749,5.08,5.08,5.08,5.08
10.41009,-0.00272929,-0.009559086,-0.006146341,2.7379892,5.08,5.08,5.08,5.08
10.420131,-0.004866549,-0.009404203,-0.007969619,2.7524068,5.08,5.08,5.08,5.08
10.4300785,-0.001224806,-0.005232527,-0.004163988,2.7298732,5.08,5.08,5.08,5.08
10.440087,-0.000653358,-0.006686625,-0.0051914,2.7219746,5.08,5.08,5.08,5.08
10.450072,-0.001519344,-0.005826635,-0.004600258,2.741437,5.08,5.08,5.08,5.08
10.46009,-0.005058997,-0.010152806,-0.006058685,2.7299178,5.08,5.08,5.08,5.08
10.470101,-0.003448953,-0.009883345,-0.007399165,2.7740664,5.08,5.08,5.08,5.08
10.480069,-0.000696754,-0.005248325,-0.004001228,2.712729,5.08,5.08,5.08,5.08
10.49008,-0.001868025,-0.005172333,-0.003760532,2.727622,5.08,5.08,5.08,5.08
10.500074,-0.001308086,-0.005352885,-0.004067511,2.7301762,5.08,5.08,5.08,5.08
10.510638,-0.004474917,-0.008418992,-0.005608306,2.718835,5.08,5.08,5.08,5.08
10.52013,-0.00552536,-0.005075192,-0.005187308,5.0599356,5.08,5.08,5.08,5.08
10.530077,-0.001339581,-0.004047782,-0.002859833,2.7318249,5.08,5.08,5.08,5.08
10.540094,-0.000950922,-0.004514258,-0.003204235,2.7106588,5.08,5.08,5.08,5.08
10.550077,-0.001646964,-0.00550182,-0.00372467,2.7302084,5.08,5.08,5.08,5.08
10.56009,-0.005902745,-0.008525726,-0.005655475,2.7377527,5.08,5.08,5.08,5.08
10.570113,-0.006509016,-0.008164175,-0.004753251,2.6203501,5.08,5.08,5.08,5.08
10.580077,-0.001222334,-0.005179879,-0.003725676,2.725641,5.08,5.08,5.08,5.08
10.590086,-0.0015964,-0.004145397,-0.003424457,2.698899,5.08,5.08,5.08,5.08
10.600065,-0.002011437,-0.004806807,-0.004410954,2.7474258,5.08,5.08,5.08,5.08
10.61105,-0.005085056,-0.008333669,-0.006255428,2.7293637,5.08,5.08,5.08,5.08
10.62017,-0.005108522,-0.007504136,-0.005754758,2.7146125,5.08,5.08,5.08,5.08
10.630075,-0.001631872,-0.005737868,-0.003768433,2.7263694,5.08,5.08,5.08,5.08
10.640076,-0.001975398,-0.004764239,-0.0043732,2.733005,5.08,5.08,5.08,5.08
10.650066,-0.00063388,-0.006306395,-0.003795542,2.7293375,5.08,5.08,5.08,5.08
10.660105,-0.005280513,-0.006506083,-0.005981414,2.7175426,5.08,5.08,5.08,5.08
10.670092,-0.004899632,-0.00748727,-0.005788419,2.7256262,5.08,5.08,5.08,5.08
10.68008,-0.002365112,-0.005221821,-0.003037191,2.7277803,5.08,5.08,5.08,5.08
10.690084,-0.001342881,-0.005728772,-0.004550177,2.695411,5.08,5.08,5.08,5.08
10.700078,-4.43E-05,-0.003419347,-0.002721543,2.7224834,5.08,5.08,5.08,5.08
10.71019,-0.001671802,-0.006059004,-0.003857733,2.720369,5.08,5.08,5.08,5.08
10.720098,-0.002028269,-0.005126796,-0.00459755,2.736012,5.08,5.08,5.08,5.08
