elapsed_time_sec,ss1_lp_ma,ss2_lp_ma,ss3_lp_ma,ss4_lp_ma
3.14008,0.270537,0.364762,0.467891,0.386152
3.15008,0.270538,0.364767,0.46788,0.386136
3.16008,0.270539,0.364772,0.46787,0.386121
3.17007,0.270539,0.364776,0.46786,0.386106
3.18007,0.27054,0.364781,0.46785,0.38609
3.19007,0.270541,0.364785,0.46784,0.386074
3.20007,0.270542,0.36479,0.467829,0.386059
3.21008,0.270542,0.364793,0.46782,0.386043
3.22008,0.270543,0.364798,0.46781,0.386027
3.23008,0.270544,0.364802,0.467801,0.386011
3.24007,0.270545,0.364807,0.467792,0.385996
3.25007,0.270546,0.364811,0.467783,0.385981
3.26008,0.270546,0.364816,0.467773,0.385966
3.27007,0.270547,0.36482,0.467764,0.385951
3.28008,0.270547,0.364825,0.467755,0.385936
3.29007,0.270547,0.36483,0.467746,0.385921
3.30007,0.270548,0.364834,0.467737,0.385905
3.31007,0.270549,0.364838,0.467729,0.38589
3.32008,0.270549,0.364843,0.46772,0.385874
3.33007,0.27055,0.364848,0.467712,0.385858
3.34008,0.270552,0.364852,0.467703,0.385842
3.35008,0.270553,0.364857,0.467695,0.385826
3.36007,0.270554,0.364861,0.467688,0.38581
3.37009,0.270556,0.364866,0.46768,0.385794
3.38007,0.270557,0.364871,0.467672,0.385779
3.39007,0.270558,0.364877,0.467665,0.385763
3.40007,0.270559,0.364881,0.467657,0.385748
3.41007,0.270559,0.364887,0.467651,0.385732
3.42009,0.270561,0.364891,0.467643,0.385716
3.43009,0.27056,0.364894,0.467636,0.3857
3.44009,0.270558,0.364897,0.467629,0.385685
3.45009,0.270556,0.364899,0.467622,0.385669
3.46009,0.270555,0.364897,0.467612,0.385653
3.47011,0.270556,0.3649,0.467604,0.385637
3.48007,0.270557,0.364904,0.467598,0.385621
3.49008,0.270557,0.364908,0.467593,0.385606
3.50008,0.270558,0.364912,0.467584,0.38559
3.51007,0.270558,0.364917,0.467579,0.385574
3.52008,0.270559,0.364922,0.467574,0.385558
3.53007,0.27056,0.364926,0.467566,0.385544
3.54008,0.270561,0.364931,0.467559,0.385528
3.55007,0.270562,0.364935,0.467554,0.385513
3.56008,0.270563,0.364939,0.467548,0.385498
3.57008,0.270564,0.364942,0.467542,0.385483
3.58008,0.270565,0.364948,0.467536,0.385467
3.59007,0.270566,0.364953,0.46753,0.385452
3.60007,0.270567,0.364958,0.467524,0.385436
3.61007,0.270569,0.364962,0.467519,0.38542
3.62008,0.270569,0.364966,0.467514,0.385405
3.63007,0.27057,0.364971,0.467508,0.385389
3.64008,0.270571,0.364975,0.467503,0.385374
3.65007,0.270572,0.36498,0.467498,0.385358
3.66007,0.270572,0.364985,0.467493,0.385342
3.67007,0.270573,0.36499,0.467489,0.385326
3.68008,0.270574,0.364994,0.467484,0.38531
3.69008,0.270574,0.364999,0.46748,0.385295
3.70008,0.270574,0.365004,0.467476,0.385279
3.71007,0.270575,0.365007,0.467471,0.385263
3.72007,0.270576,0.365012,0.467466,0.385247
3.73008,0.270577,0.365017,0.467462,0.385231
3.74008,0.270577,0.365022,0.467457,0.385216
3.75008,0.270578,0.365026,0.467454,0.3852
3.76007,0.270579,0.365031,0.46745,0.385185
3.77007,0.270581,0.365035,0.467446,0.385169
3.78008,0.270582,0.36504,0.467442,0.385153
3.79007,0.270583,0.365044,0.467439,0.385137
3.80008,0.270584,0.365048,0.467435,0.385122
3.81007,0.270584,0.365052,0.46743,0.385106
3.82007,0.270586,0.365057,0.467427,0.385091
3.83008,0.270586,0.365061,0.467423,0.385075
3.84007,0.270587,0.365066,0.46742,0.385059
3.85008,0.270588,0.365071,0.467416,0.385043
3.86007,0.27059,0.365076,0.467413,0.385028
3.87007,0.27059,0.365081,0.46741,0.385012
3.88007,0.270591,0.365086,0.467408,0.384996
3.89007,0.270592,0.36509,0.467405,0.384981
3.90007,0.270593,0.365095,0.467402,0.384966
3.91007,0.270593,0.3651,0.467399,0.38495
3.92009,0.270594,0.365105,0.467396,0.384934
3.93009,0.270593,0.365108,0.467393,0.384918
3.9401,0.27059,0.36511,0.46739,0.384901
3.9501,0.270587,0.365112,0.467387,0.384885
3.96008,0.270587,0.365116,0.467383,0.384869
3.9701,0.270587,0.365119,0.467381,0.384852
3.9801,0.270585,0.365121,0.467378,0.384837
3.9901,0.270584,0.365123,0.467376,0.384821
4.0001,0.270582,0.365126,0.467374,0.384804
4.01008,0.270582,0.365129,0.467372,0.384788
4.02008,0.270582,0.365133,0.46737,0.384772
4.03007,0.270582,0.365138,0.467369,0.384757
4.04008,0.270583,0.365142,0.467367,0.384741
4.05008,0.270584,0.365147,0.467365,0.384725
4.06008,0.270584,0.365151,0.467364,0.38471
4.07007,0.270585,0.365155,0.467362,0.384694
4.08008,0.270586,0.365159,0.467361,0.384678
4.09007,0.270586,0.365162,0.46736,0.384663
4.10007,0.270586,0.365167,0.467358,0.384647
4.11007,0.270587,0.365171,0.467357,0.384631
4.12008,0.270588,0.365175,0.467355,0.384615
4.13007,0.270588,0.36518,0.467354,0.3846
4.14007,0.27059,0.365185,0.467352,0.384584
4.15008,0.27059,0.365189,0.467352,0.384567
4.16008,0.270592,0.365194,0.467351,0.384551
4.17007,0.270593,0.365199,0.467351,0.384535
4.18008,0.270593,0.365204,0.46735,0.384519
4.19007,0.270594,0.365209,0.46735,0.384504
4.20007,0.270595,0.365214,0.46735,0.384488
4.21008,0.270595,0.365218,0.46735,0.384473
4.22008,0.270596,0.365223,0.46735,0.384457
4.23008,0.270596,0.365227,0.46735,0.384441
4.24008,0.270597,0.365231,0.467349,0.384425
4.25007,0.270598,0.365237,0.46735,0.384409
4.26007,0.270599,0.365242,0.46735,0.384394
4.27007,0.2706,0.365247,0.467351,0.384378
4.28009,0.270601,0.365252,0.467351,0.384363
4.29008,0.270602,0.365257,0.467352,0.384348
4.30008,0.270603,0.365262,0.467352,0.384332
4.31007,0.270604,0.365266,0.467353,0.384317
4.32008,0.270604,0.365271,0.467354,0.384301
4.33008,0.270606,0.365276,0.467355,0.384286
4.34008,0.270607,0.365282,0.467356,0.38427
4.35008,0.270607,0.365286,0.467356,0.384254
4.36007,0.270607,0.365291,0.467358,0.384239
4.37008,0.270608,0.365295,0.467359,0.384223
4.38007,0.270607,0.3653,0.46736,0.384208
4.39007,0.270607,0.365304,0.467362,0.384192
4.40008,0.270608,0.365309,0.467364,0.384177
4.41007,0.270609,0.365313,0.467365,0.384161
4.42009,0.27061,0.365318,0.467367,0.384145
4.43009,0.270609,0.365321,0.467368,0.38413
4.44009,0.270608,0.365325,0.46737,0.384114
4.4501,0.270606,0.365328,0.467371,0.384098
4.46009,0.270606,0.365332,0.467372,0.384081
4.47009,0.270606,0.365336,0.467374,0.384064
4.48008,0.270606,0.365341,0.467376,0.384048
4.49007,0.270607,0.365345,0.467378,0.384033
4.50007,0.270608,0.365349,0.46738,0.384017
4.51007,0.270608,0.365354,0.467382,0.384001
4.52007,0.270609,0.365359,0.467384,0.383986
4.53007,0.27061,0.365364,0.467385,0.38397
4.54007,0.270611,0.365368,0.467388,0.383955
