elapsed_time_sec,temperature_c_lp_ma,humidity_pct_lp_ma,pressure_hpa_lp_ma
10.8001,25.0921,50.1578,1013.02
10.9001,25.0921,50.1578,1013.02
11.0001,25.0921,50.1578,1013.02
11.1001,25.0921,50.1578,1013.02
11.2001,25.0921,50.1578,1013.02
11.3001,25.0921,50.1578,1013.02
11.4001,25.0921,50.1578,1013.02
11.5001,25.0921,50.1578,1013.02
11.6001,25.0921,50.1578,1013.02
11.7026,25.0921,50.1578,1013.02
11.8001,25.0921,50.1578,1013.02
11.9001,25.0921,50.1578,1013.02
12.0001,25.0921,50.1578,1013.02
12.1001,25.0921,50.1578,1013.02
12.2003,25.0921,50.1578,1013.02
12.3001,25.0921,50.1578,1013.02
12.4001,25.0921,50.1578,1013.02
12.5001,25.0921,50.1578,1013.02
12.6001,25.0921,50.1578,1013.02
12.7001,25.0921,50.1578,1013.02
12.8001,25.0921,50.1578,1013.02
12.9001,25.0921,50.1578,1013.02
13.0001,25.0921,50.1578,1013.02
13.1001,25.0921,50.1578,1013.02
13.2001,25.0921,50.1578,1013.02
13.3001,25.0921,50.1578,1013.02
13.4001,25.0921,50.1578,1013.02
13.5001,25.0921,50.1578,1013.02
13.6001,25.0921,50.1578,1013.02
13.7001,25.0921,50.1578,1013.02
13.8001,25.0921,50.1578,1013.02
13.9001,25.0921,50.1578,1013.02
14.0001,25.0921,50.1578,1013.02
14.1001,25.0921,50.1578,1013.02
14.2001,25.0921,50.1578,1013.02
14.3001,25.0921,50.1578,1013.02
14.4001,25.0921,50.1578,1013.02
14.5001,25.0921,50.1578,1013.02
14.6001,25.0921,50.1578,1013.02
14.7001,25.0921,50.1578,1013.02
14.8001,25.0921,50.1578,1013.02
14.9001,25.0921,50.1578,1013.02
15.0001,25.0921,50.1578,1013.02
15.1001,25.0921,50.1578,1013.02
15.2001,25.0921,50.1578,1013.02
15.3001,25.0921,50.1578,1013.02
15.4001,25.0921,50.1578,1013.02
15.5001,25.0921,50.1578,1013.02
15.6001,25.0921,50.1578,1013.02
15.7002,25.0921,50.1578,1013.02
15.8001,25.0921,50.1578,1013.02
15.9001,25.0921,50.1578,1013.02
16.0001,25.0921,50.1578,1013.02
16.1001,25.0921,50.1578,1013.02
16.2003,25.0921,50.1578,1013.02
16.3001,25.0921,50.1578,1013.02
16.4001,25.0921,50.1578,1013.02
16.5001,25.0921,50.1578,1013.02
